Date,Close/Last,Volume,Open,High,Low,AdjClose
"Jul 09, 2020",281.71,58588000,279.4,270.26,278.86,278.86
"Jul 08, 2020",283.45,81556500,281,262.27,273.18,273.18
"Jul 07, 2020",285.9,107448500,281,267.34,277.97,277.97
"Jul 06, 2020",275.56,102849500,255.34,253.21,274.32,274.32
"Jul 02, 2020",245.6,86250500,244.3,237.12,241.73,241.73
"Jul 01, 2020",227.07,66634500,216.6,216.1,223.93,223.93
"Jun 30, 2020",217.54,84592500,201.3,200.75,215.96,215.96
"Jun 29, 2020",202,45132000,193.8,189.7,201.87,201.87
"Jun 26, 2020",199,44274500,198.96,190.97,191.95,191.95
"Jun 25, 2020",197.2,46272500,190.85,187.43,197.2,197.2
"Jun 24, 2020",200.18,54798000,198.82,190.63,192.17,192.17
"Jun 23, 2020",202.4,31826500,199.78,198.8,200.36,200.36
"Jun 22, 2020",201.78,31812000,199.99,198,198.86,198.86
"Jun 19, 2020",203.19,43398500,202.56,198.27,200.18,200.18
"Jun 18, 2020",203.84,48759500,200.6,198.89,200.79,200.79
"Jun 17, 2020",201,49454000,197.54,196.51,198.36,198.36
"Jun 16, 2020",202.58,70255500,202.37,192.48,196.43,196.43
"Jun 15, 2020",199.77,78486000,183.56,181.7,198.18,198.18
"Jun 12, 2020",197.6,83817000,196,182.52,187.06,187.06
"Jun 11, 2020",203.79,79582500,198.04,194.4,194.57,194.57
"Jun 10, 2020",205.5,92817000,198.38,196.5,205.01,205.01
"Jun 09, 2020",190.89,56941000,188,184.79,188.13,188.13
"Jun 08, 2020",190,70873500,183.8,181.83,189.98,189.98
"Jun 05, 2020",177.3,39059500,175.57,173.24,177.13,177.13
"Jun 04, 2020",179.15,44438500,177.98,171.69,172.88,172.88
"Jun 03, 2020",179.59,39747500,177.62,176.02,176.59,176.59
"Jun 02, 2020",181.73,67828000,178.94,174.2,176.31,176.31
"Jun 01, 2020",179.8,74697500,171.6,170.82,179.62,179.62
"May 29, 2020",167,58822500,161.75,160.84,167,167
"May 28, 2020",164.95,36278000,162.7,160.34,161.16,161.16
"May 27, 2020",165.54,57747500,164.17,157,164.05,164.05
"May 26, 2020",166.92,40448500,166.9,163.14,163.77,163.77
"May 22, 2020",166.36,49937500,164.43,162.4,163.38,163.38
"May 21, 2020",166.5,61273000,163.2,159.2,165.52,165.52
"May 20, 2020",165.2,36546500,164.1,162.36,163.11,163.11
"May 19, 2020",164.41,48182500,163.03,161.22,161.6,161.6
"May 18, 2020",166.94,58329000,165.56,160.78,162.73,162.73
"May 15, 2020",161.01,52592000,158.07,157.31,159.83,159.83
"May 14, 2020",160.67,68411000,156,152.8,160.67,160.67
"May 13, 2020",165.2,95327500,164.17,152.66,158.19,158.19
"May 12, 2020",168.66,79534500,165.4,161.6,161.88,161.88
"May 11, 2020",164.8,82598000,158.1,157,162.26,162.26
"May 08, 2020",164.8,80432500,158.75,157.4,163.88,163.88
"May 07, 2020",159.28,57638500,155.44,154.47,156.01,156.01
"May 06, 2020",157.96,55616000,155.3,152.22,156.52,156.52
"May 05, 2020",159.78,84958500,157.96,152.44,153.64,153.64
"May 04, 2020",152.4,96185500,140.2,139.6,152.24,152.24
"May 01, 2020",154.55,162659000,151,136.61,140.26,140.26
"Apr 30, 2020",173.96,142359500,171.04,152.7,156.38,156.38
"Apr 29, 2020",160.64,81080000,158.03,156.63,160.1,160.1
"Apr 28, 2020",161,76110000,159.13,151.34,153.82,153.82
"Apr 27, 2020",159.9,103407000,147.52,147,159.75,159.75
"Apr 24, 2020",146.15,66060000,142.16,139.64,145.03,145.03
"Apr 23, 2020",146.8,66183500,145.52,140.63,141.13,141.13
"Apr 22, 2020",146.8,70827500,140.8,137.74,146.42,146.42
"Apr 21, 2020",150.67,101045500,146.02,134.76,137.34,137.34
"Apr 20, 2020",153.11,73733000,146.54,142.44,149.27,149.27
"Apr 17, 2020",154.99,65641000,154.46,149.53,150.78,150.78
"Apr 16, 2020",151.89,103289500,143.39,141.34,149.04,149.04
"Apr 15, 2020",150.63,117885000,148.4,142,145.97,145.97
"Apr 14, 2020",148.38,152882500,139.79,138.49,141.98,141.98
"Apr 13, 2020",130.4,112377000,118.03,116.11,130.19,130.19
"Apr 09, 2020",115.04,68250000,112.42,111.42,114.6,114.6
"Apr 08, 2020",111.44,63280000,110.84,106.67,109.77,109.77
"Apr 07, 2020",113,89599000,109,106.47,109.09,109.09
"Apr 06, 2020",104.2,74509000,102.24,99.59,103.25,103.25
"Apr 03, 2020",103.1,112810500,101.9,93.68,96,96
"Apr 02, 2020",98.85,99292000,96.21,89.28,90.89,90.89
"Apr 01, 2020",102.79,66766000,100.8,95.02,96.31,96.31
"Mar 31, 2020",108.59,88857500,100.25,99.4,104.8,104.8
"Mar 30, 2020",103.33,59990500,102.05,98.25,100.43,100.43
"Mar 27, 2020",105.16,71887000,101,98.81,102.87,102.87
"Mar 26, 2020",112,86903500,109.48,102.45,105.63,105.63
"Mar 25, 2020",111.4,106113500,109.05,102.22,107.85,107.85
"Mar 24, 2020",102.74,114476000,95.46,94.8,101,101
"Mar 23, 2020",88.4,82272500,86.72,82.1,86.86,86.86
"Mar 20, 2020",95.4,141427500,87.64,85.16,85.51,85.51
"Mar 19, 2020",90.4,150977500,74.94,71.69,85.53,85.53
"Mar 18, 2020",80.97,118931000,77.8,70.1,72.24,72.24
"Mar 17, 2020",94.37,119973000,88,79.2,86.04,86.04
"Mar 16, 2020",98.97,102447500,93.9,88.43,89.01,89.01
"Mar 13, 2020",121.51,113201500,119,100.4,109.32,109.32
"Mar 12, 2020",118.9,94545500,116.18,109.25,112.11,112.11
"Mar 11, 2020",130.72,66612500,128.04,122.6,126.85,126.85
"Mar 10, 2020",133.6,77972000,131.89,121.6,129.07,129.07
"Mar 09, 2020",132.6,85368500,121.08,121,121.6,121.6
"Mar 06, 2020",141.4,63314500,138,136.85,140.7,140.7
"Mar 05, 2020",149.15,54263500,144.75,143.61,144.91,144.91
"Mar 04, 2020",153.3,75245000,152.79,144.95,149.9,149.9
"Mar 03, 2020",161.4,128920000,161,143.22,149.1,149.1
"Mar 02, 2020",148.74,100975000,142.25,137.33,148.72,148.72
"Feb 28, 2020",138.1,121114500,125.94,122.3,133.6,133.6
"Feb 27, 2020",147.95,121386000,146,133.8,135.8,135.8
"Feb 26, 2020",162.66,70427500,156.5,155.22,155.76,155.76
"Feb 25, 2020",171.32,86452500,169.8,157.4,159.98,159.98
"Feb 24, 2020",172.7,75961000,167.8,164.44,166.76,166.76
"Feb 21, 2020",182.61,71574000,181.4,176.09,180.2,180.2
"Feb 20, 2020",182.4,88174500,182.39,171.99,179.88,179.88
"Feb 19, 2020",188.96,127115000,184.7,180.2,183.48,183.48
"Feb 18, 2020",172,81908500,168.32,166.47,171.68,171.68
"Feb 14, 2020",162.59,78468500,157.44,157.1,160.01,160.01
"Feb 13, 2020",163.6,131446500,148.37,147,160.8,160.8
"Feb 12, 2020",157.95,60112500,155.57,152.67,153.46,153.46
"Feb 11, 2020",156.7,58487500,153.76,151.6,154.88,154.88
"Feb 10, 2020",164,123446000,160,150.48,154.26,154.26
"Feb 07, 2020",153.95,85317500,146.11,146,149.61,149.61
"Feb 06, 2020",159.17,199404000,139.98,137.4,149.79,149.79
"Feb 05, 2020",169.2,242119000,164.65,140.82,146.94,146.94
"Feb 04, 2020",193.8,304694000,176.59,166.78,177.41,177.41
"Feb 03, 2020",157.23,235325000,134.74,134.7,156,156
"Jan 31, 2020",130.6,78596500,128,126.5,130.11,130.11
"Jan 30, 2020",130.18,145028500,126.48,123.6,128.16,128.16
"Jan 29, 2020",117.96,89007500,115.14,113.49,116.2,116.2
"Jan 28, 2020",115.36,58942500,113.7,111.62,113.38,113.38
"Jan 27, 2020",112.89,68040500,108.4,107.86,111.6,111.6
"Jan 24, 2020",114.77,71768000,114.13,110.85,112.96,112.96
"Jan 23, 2020",116.4,98255000,112.85,111.12,114.44,114.44
"Jan 22, 2020",118.9,156845000,114.38,111.82,113.91,113.91
"Jan 21, 2020",109.72,89017500,106.05,105.68,109.44,109.44
"Jan 17, 2020",103.13,68145500,101.52,100.63,102.1,102.1
"Jan 16, 2020",102.89,108683500,98.75,98.43,102.7,102.7
"Jan 15, 2020",107.57,86844000,105.95,103.36,103.7,103.7
"Jan 14, 2020",109.48,144981000,108.85,104.98,107.58,107.58
"Jan 13, 2020",105.13,132588000,98.7,98.4,104.97,104.97
"Jan 10, 2020",96.99,64797500,96.36,94.74,95.63,95.63
"Jan 09, 2020",99.76,142202000,99.42,94.57,96.27,96.27
"Jan 08, 2020",99.7,155721500,94.74,93.65,98.43,98.43
"Jan 07, 2020",94.33,89410500,92.28,90.67,93.81,93.81
"Jan 06, 2020",90.31,50665000,88.09,88,90.31,90.31
"Jan 03, 2020",90.8,88892500,88.1,87.38,88.6,88.6
"Jan 02, 2020",86.14,47660500,84.9,84.34,86.05,86.05
"Dec 31, 2019",84.26,51428500,81,80.42,83.67,83.67
"Dec 30, 2019",85.8,62932000,85.76,81.85,82.94,82.94
"Dec 27, 2019",87.06,49728500,87,85.22,86.08,86.08
"Dec 26, 2019",86.7,53169500,85.58,85.27,86.19,86.19
"Dec 24, 2019",85.09,40273500,83.67,82.54,85.05,85.05
"Dec 23, 2019",84.4,66598000,82.36,82,83.84,83.84
"Dec 20, 2019",82.6,73763500,82.06,80.04,81.12,81.12
"Dec 19, 2019",81.37,90535500,79.46,79.3,80.81,80.81
"Dec 18, 2019",79.04,70605000,76.13,76.12,78.63,78.63
"Dec 17, 2019",77.1,42484000,75.8,75.18,75.8,75.8
"Dec 16, 2019",76.72,90871000,72.51,72.5,76.3,76.3
"Dec 13, 2019",73.04,32854500,72.21,70.93,71.68,71.68
"Dec 12, 2019",72.55,38819500,70.98,70.65,71.94,71.94
"Dec 11, 2019",71.44,34489000,70.38,70.22,70.54,70.54
"Dec 10, 2019",70.15,44141500,67.99,67.86,69.77,69.77
"Dec 09, 2019",68.89,45115500,67.32,67.02,67.91,67.91
"Dec 06, 2019",67.77,38062000,67,66.95,67.18,67.18
"Dec 05, 2019",66.88,18623000,66.57,65.45,66.07,66.07
"Dec 04, 2019",67.57,27665000,67.55,66.57,66.61,66.61
"Dec 03, 2019",67.58,32868500,66.52,66.44,67.24,67.24
"Dec 02, 2019",67.28,30372500,65.88,65.74,66.97,66.97
"Nov 29, 2019",66.25,12328000,66.22,65.5,65.99,65.99
"Nov 27, 2019",66.79,27778000,66.22,65.71,66.26,66.26
"Nov 26, 2019",67.1,39737000,67.05,65.42,65.78,65.78
"Nov 25, 2019",68.91,61697500,68.86,66.89,67.27,67.27
"Nov 22, 2019",68.2,84353000,68.03,66,66.61,66.61
"Nov 21, 2019",72.17,30550000,70.9,70.8,70.97,70.97
"Nov 20, 2019",72.24,33625500,72,69.91,70.44,70.44
"Nov 19, 2019",72,38624000,70.35,69.56,71.9,71.9
"Nov 18, 2019",70.63,22002000,70.58,69.22,70,70
"Nov 15, 2019",70.56,24045000,70.13,69.67,70.43,70.43
"Nov 14, 2019",70.77,32324500,69.22,68.58,69.87,69.87
"Nov 13, 2019",71.27,42100500,71,69.04,69.22,69.22
"Nov 12, 2019",70.07,36797000,69.38,68.81,69.99,69.99
"Nov 11, 2019",69.84,49933500,68.79,68.4,69.02,69.02
"Nov 08, 2019",67.49,30346000,66.9,66.5,67.43,67.43
"Nov 07, 2019",68.3,72336500,65.83,65.6,67.11,67.11
"Nov 06, 2019",65.34,39704500,63.6,62.9,65.32,65.32
"Nov 05, 2019",64.7,34717000,63.92,63.22,63.44,63.44
"Nov 04, 2019",64.39,43935000,62.96,61.85,63.49,63.49
"Nov 01, 2019",63.3,31919500,63.26,61.96,62.66,62.66
"Oct 31, 2019",63.8,25335000,62.62,62.6,62.98,62.98
"Oct 30, 2019",63.76,48209000,62.6,61.99,63,63
"Oct 29, 2019",64.86,63421500,64,62.95,63.24,63.24
"Oct 28, 2019",68.17,94351500,65.51,64.52,65.54,65.54
"Oct 25, 2019",66,150030500,59.54,59.22,65.63,65.63
"Oct 24, 2019",60.99,148604500,59.67,57.84,59.94,59.94
"Oct 23, 2019",51.23,26305500,50.9,50.27,50.94,50.94
"Oct 22, 2019",51.67,23004000,50.86,50.17,51.12,51.12
"Oct 21, 2019",51.9,25101500,51.67,50.04,50.7,50.7
"Oct 18, 2019",52.56,28749000,52.14,51.02,51.39,51.39
"Oct 17, 2019",52.96,23846500,52.5,52.03,52.39,52.39
"Oct 16, 2019",52.42,33420500,51.48,51.38,51.95,51.95
"Oct 15, 2019",52,32164000,51.54,50.82,51.58,51.58
"Oct 14, 2019",51.71,51025000,49.58,49.43,51.39,51.39
"Oct 11, 2019",50.22,42377000,49.43,49.36,49.58,49.58
"Oct 10, 2019",49.86,31416500,49.06,48.32,48.95,48.95
"Oct 09, 2019",49.46,34472000,48.26,48.13,48.91,48.91
"Oct 08, 2019",48.79,43391000,47.17,46.9,48.01,48.01
"Oct 07, 2019",47.71,40321000,45.96,45.71,47.54,47.54
"Oct 04, 2019",46.96,39975000,46.32,45.61,46.29,46.29
"Oct 03, 2019",46.9,75422500,46.37,44.86,46.61,46.61
"Oct 02, 2019",48.93,28157000,48.66,47.89,48.63,48.63
"Oct 01, 2019",49.19,30813000,48.3,47.83,48.94,48.94
"Sep 30, 2019",48.8,29399000,48.6,47.22,48.17,48.17
"Sep 27, 2019",49.74,55582000,48.44,47.75,48.43,48.43
"Sep 26, 2019",48.66,59422500,46.13,45.48,48.51,48.51
"Sep 25, 2019",45.8,47135500,44.91,43.67,45.74,45.74
"Sep 24, 2019",48.4,64457500,48.3,44.52,44.64,44.64
"Sep 23, 2019",49.04,21701000,48,47.84,48.25,48.25
"Sep 20, 2019",49.39,31765000,49.3,47.63,48.12,48.12
"Sep 19, 2019",49.59,23979000,49.2,48.97,49.32,49.32
"Sep 18, 2019",49.63,20851000,49,48.47,48.7,48.7
"Sep 17, 2019",49.12,19327000,48.49,48.07,48.96,48.96
"Sep 16, 2019",49.49,23640500,49.2,48.23,48.56,48.56
"Sep 13, 2019",49.69,26565500,49.39,48.97,49.04,49.04
"Sep 12, 2019",50.7,42906000,49.54,48.88,49.17,49.17
"Sep 11, 2019",49.63,50214000,47.48,47.2,49.42,49.42
"Sep 10, 2019",47.11,24418500,46.16,45.79,47.11,47.11
"Sep 09, 2019",46.75,24013500,46,45.85,46.36,46.36
"Sep 06, 2019",45.93,20947000,45.44,45.03,45.49,45.49
"Sep 05, 2019",45.96,36976500,44.5,44.17,45.92,45.92
"Sep 04, 2019",45.69,28805000,45.38,43.84,44.14,44.14
"Sep 03, 2019",45.79,26770500,44.82,44.63,45,45
"Aug 30, 2019",46.49,46603000,45.83,44.84,45.12,45.12
"Aug 29, 2019",44.68,25897500,43.8,43.6,44.34,44.34
"Aug 28, 2019",43.45,16127500,42.74,42.46,43.12,43.12
"Aug 27, 2019",43.76,27081000,43.15,42.41,42.82,42.82
"Aug 26, 2019",43,25259500,42.72,42.31,43,43
"Aug 23, 2019",44.23,42693000,43.99,42.2,42.28,42.28
"Aug 22, 2019",45.08,32795000,44.56,43.64,44.43,44.43
"Aug 21, 2019",44.64,38971500,44.4,43.52,44.17,44.17
"Aug 20, 2019",45.82,20626000,45.52,44.91,45.17,45.17
"Aug 19, 2019",45.57,26548000,44.84,44.34,45.37,45.37
"Aug 16, 2019",44.45,25492500,43.33,43.2,43.99,43.99
"Aug 15, 2019",44.31,40798000,44.17,42.31,43.13,43.13
"Aug 14, 2019",46.3,47813000,46.24,43.34,43.92,43.92
"Aug 13, 2019",47.2,24240500,45.76,45.51,47,47
"Aug 12, 2019",47.15,23319500,46.6,45.75,45.8,45.8
"Aug 09, 2019",47.79,19491000,47.21,46.76,47,47
"Aug 08, 2019",47.96,26371500,46.89,46.53,47.66,47.66
"Aug 07, 2019",46.71,23882500,45.3,45.16,46.68,46.68
"Aug 06, 2019",46.5,27821000,46.38,45.15,46.15,46.15
"Aug 05, 2019",46.27,35141500,45.92,45.16,45.66,45.66
"Aug 02, 2019",47.25,30682500,46.27,45.85,46.87,46.87
"Aug 01, 2019",48.9,41297500,48.53,46.35,46.77,46.77
"Jul 31, 2019",49.34,45891000,48.6,47.33,48.32,48.32
"Jul 30, 2019",48.67,40545000,46.58,46.44,48.45,48.45
"Jul 29, 2019",47.19,46366500,45.42,45.21,47.15,47.15
"Jul 26, 2019",46.05,50138500,45.38,44.45,45.61,45.61
"Jul 25, 2019",46.9,112091500,46.7,45.11,45.76,45.76
"Jul 24, 2019",53.21,55364000,51.83,51.63,52.98,52.98
"Jul 23, 2019",52.1,25115500,51.34,50.9,52.03,52.03
"Jul 22, 2019",52.43,34212000,51.75,50.84,51.14,51.14
"Jul 19, 2019",51.99,35242000,51.14,50.92,51.64,51.64
"Jul 18, 2019",51.15,23793000,51.01,50.38,50.71,50.71
"Jul 17, 2019",51.66,48823500,51.13,50.67,50.97,50.97
"Jul 16, 2019",50.71,40745000,49.86,49.59,50.48,50.48
"Jul 15, 2019",50.88,55000500,49.6,48.97,50.7,50.7
"Jul 12, 2019",49.08,46002500,47.95,47.94,49.02,49.02
"Jul 11, 2019",48.3,37572000,47.63,47.16,47.72,47.72
"Jul 10, 2019",47.79,45728500,46.83,46.63,47.78,47.78
"Jul 09, 2019",46.2,30954000,45.79,45.46,46.01,46.01
"Jul 08, 2019",46.45,29402500,46.25,45.73,46.07,46.07
"Jul 05, 2019",47.09,35328500,46.91,46.16,46.62,46.62
"Jul 03, 2019",48.31,71005500,47.88,46.9,46.98,46.98
"Jul 02, 2019",45.83,46295000,45.78,44.44,44.91,44.91
"Jul 01, 2019",46.62,41067000,46.04,45.26,45.43,45.43
"Jun 28, 2019",45.03,34257000,44.2,44.16,44.69,44.69
"Jun 27, 2019",44.58,31698500,43.89,43.47,44.57,44.57
"Jun 26, 2019",45.45,42536000,44.06,43.62,43.85,43.85
"Jun 25, 2019",45.07,30910500,44.88,43.9,43.95,43.95
"Jun 24, 2019",45.17,28754000,44.65,44.2,44.73,44.73
"Jun 21, 2019",44.44,41010500,43.24,43.1,44.37,44.37
"Jun 20, 2019",45.38,59317500,44.6,43.27,43.92,43.92
"Jun 19, 2019",45.55,32875500,45.02,44.21,45.29,45.29
"Jun 18, 2019",46.95,63579000,45.74,44.51,44.95,44.95
"Jun 17, 2019",45.4,61584000,43.1,42.85,45.01,45.01
"Jun 14, 2019",43.33,37167000,42.25,42.08,42.98,42.98
"Jun 13, 2019",42.98,40841500,42.08,41.5,42.78,42.78
"Jun 12, 2019",44.68,75987500,44.59,41.8,41.85,41.85
"Jun 11, 2019",44.18,58267500,43.83,42.7,43.42,43.42
"Jun 10, 2019",43.39,52925000,42.05,41.8,42.58,42.58
"Jun 07, 2019",42.17,80017500,41,40.7,40.9,40.9
"Jun 06, 2019",42.2,101211000,40.89,40.36,41.19,41.19
"Jun 05, 2019",40.26,67554000,39.74,38.37,39.32,39.32
"Jun 04, 2019",38.8,69037500,36.22,35.92,38.72,38.72
"Jun 03, 2019",37.34,65322000,37.1,35.4,35.79,35.79
"May 31, 2019",37.98,52033500,37.02,36.82,37.03,37.03
"May 30, 2019",38.45,39632500,37.75,37.4,37.64,37.64
"May 29, 2019",38.48,59843000,37.42,37.01,37.97,37.97
"May 28, 2019",39,51564500,38.24,37.57,37.74,37.74
"May 24, 2019",40,70683000,39.97,37.75,38.13,38.13
"May 23, 2019",39.89,132735500,38.87,37.24,39.1,39.1
"May 22, 2019",40.79,93426000,39.82,38.36,38.55,38.55
"May 21, 2019",41.48,90019500,39.55,39.21,41.02,41.02
"May 20, 2019",41.2,102631000,40.56,39.05,41.07,41.07
"May 17, 2019",44.45,88933500,44.39,41.78,42.21,42.21
"May 16, 2019",46.2,37416500,45.9,45.3,45.67,45.67
"May 15, 2019",46.49,36480000,45.86,45.05,46.39,46.39
"May 14, 2019",46.9,36262000,45.86,45.6,46.46,46.46
"May 13, 2019",46.49,54174000,46.4,44.9,45.4,45.4
"May 10, 2019",48.4,35041500,47.95,47.2,47.9,47.9
"May 09, 2019",48.74,33557000,48.4,47.39,48.4,48.4
"May 08, 2019",50.12,30882000,49.39,48.84,48.97,48.97
"May 07, 2019",51.44,50657000,51.36,49.02,49.41,49.41
"May 06, 2019",51.67,54169500,50,49.7,51.07,51.07
"May 03, 2019",51.32,118534000,48.77,48.7,51.01,51.01
"May 02, 2019",49.43,90796500,49.1,47.54,48.82,48.82
"May 01, 2019",48,53522000,47.77,46.3,46.8,46.8
"Apr 30, 2019",48.84,47323000,48.41,47.4,47.74,47.74
"Apr 29, 2019",48.8,83572500,47.17,46.43,48.29,48.29
"Apr 26, 2019",49.34,111803500,49.3,46.23,47.03,47.03
"Apr 25, 2019",51.8,109247000,51,49.21,49.53,49.53
"Apr 24, 2019",53.06,53637500,52.77,51.6,51.73,51.73
